Unnamed: 0	Sentence	True Id
0	salvation army - temple / salvation army; 1 n ogden ave; ; 2262649; child care; extended day	160607
1	salvation army - temple / salvation army; 1 n ogden ave; ; 2262649; child care; extended day	160607
2	national louis university - dr. effie o. ellis training center; 10 s kedzie ave; ; 5339011; child care; extended day	1060612
3	national louis university - dr. effie o. ellis training center; 10 s kedzie ave; ; 5339011; child care; extended day	1060612
4	board trustees-city colleges of chicago - olive-harvey college; 10001 s woodlawn ave; ; 2916100; child care; extended day	1000160628
5	board trustees-city colleges of chicago - olive-harvey college; 10001 s woodlawn ave; ; 2916100; child care; extended day	1000160628
6	easter seals society of metropolitan chicago - gilchrist-marchman; 1001 w roosevelt rd; ; 9395115; child care; extended day	1001
7	easter seals society of metropolitan chicago - gilchrist-marchman; 1001 w roosevelt rd; ; 9395115; child care; extended day	1001
8	hull house association - uptown head start / hull house; 1020 w bryn mawr ave; ; 7695753; child care; extended day	102060660
9	hull house association - child dev. central office- hull house cds-homes; 1030 w van buren st; ; 9068600; child care; extended day	1030
10	hull house association - child dev. central office- hull house cds-homes; 1030 w van buren st; ; 9068600; child care; extended day	1030
11	catholic charities of the archdiocese of chicago - st. kevin; 10509 s torrence ave; ; 3746466; child care; extended day	1050960617
12	catholic charities of the archdiocese of chicago - st. kevin; 10509 s torrence ave; ; 3746466; child care; extended day	1050960617
13	chicago state university - community learning center; 10612 s wentworth; ; ; child care; extended day	1061260628
14	catholic charities of the archdiocese of chicago - cordia marian; 1100 s may st; ; 6663787; child care; extended day	110060607
15	catholic charities of the archdiocese of chicago - cordia marian; 1100 s may st; ; 6663787; child care; extended day	110060607
16	thresholds - thresholds mothers' project; 1110 w belmont ave; ; 4723558; child care; extended day	111060657
17	bethel new life - molade child development center; 1120 n lamon ave; ; 6267760; child care; extended day	112060651
18	south east asia center - south-east asia center(ainslie); 1124 w ainslie st; ; 9897433; child care; extended day	1124
19	ada s. mckinley community services - mckinley - roseland; 11410 s edbrooke ave; ; 4681918; child care; extended day	1141060628
20	ada s. mckinley community services - mckinley - roseland; 11410 s edbrooke ave; ; 4681918; child care; extended day	1141060628
21	board trustees-city colleges of chicago - truman; 1145 w wilson ave; ; 8781700; child care; extended day	114560640
22	chicago state university - gingerbread house; 11640 s wentworth ave; ; 9284041; child care; extended day	11640
23	chicago state university - gingerbread house; 11640 s wentworth ave; ; 9284041; child care; extended day	11640
